ID;age;job;marital;education;default;housing;loan;contact;month;day_of_week;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;y
17235;36;services;married;high.school;no;no;no;cellular;jul;fri;4;999;0;nonexistent;1.4;93.918;-42.7;4.962;5228.1;no
18154;25;services;single;basic.9y;no;yes;no;cellular;jul;wed;1;999;0;nonexistent;1.4;93.918;-42.7;4.963;5228.1;yes
37563;20;student;single;high.school;no;no;no;cellular;aug;fri;2;999;1;failure;-2.9;92.201;-31.4;0.869;5076.2;no
5829;34;admin.;married;university.degree;no;no;no;telephone;may;mon;5;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
33124;33;blue-collar;single;basic.6y;no;yes;no;cellular;may;tue;3;999;1;failure;-1.8;92.893;-46.2;1.291;5099.1;yes
859;35;blue-collar;single;unknown;no;yes;no;telephone;may;wed;1;999;0;nonexistent;1.1;93.994;-36.4;4.856;5191;no
2765;43;unknown;married;high.school;unknown;no;no;telephone;may;wed;1;999;0;nonexistent;1.1;93.994;-36.4;4.859;5191;no
35794;56;technician;single;professional.course;no;yes;no;cellular;may;mon;3;999;1;failure;-1.8;92.893;-46.2;1.244;5099.1;no
38562;48;technician;married;high.school;no;no;no;cellular;oct;thu;1;999;0;nonexistent;-3.4;92.431;-26.9;0.722;5017.5;yes
30297;46;admin.;married;basic.6y;no;no;no;cellular;apr;thu;1;999;0;nonexistent;-1.8;93.075;-47.1;1.365;5099.1;yes
32029;42;admin.;married;high.school;no;unknown;unknown;cellular;may;thu;3;999;1;failure;-1.8;92.893;-46.2;1.327;5099.1;yes
27904;20;student;single;basic.9y;no;yes;no;cellular;mar;thu;1;999;0;nonexistent;-1.8;92.843;-50;1.538;5099.1;yes
942;42;services;divorced;high.school;unknown;no;no;telephone;may;wed;1;999;0;nonexistent;1.1;93.994;-36.4;4.856;5191;no
7988;37;entrepreneur;married;basic.9y;no;yes;no;telephone;jun;mon;1;999;0;nonexistent;1.4;94.465;-41.8;4.865;5228.1;no
17488;47;self-employed;married;university.degree;no;no;yes;cellular;jul;mon;4;999;0;nonexistent;1.4;93.918;-42.7;4.962;5228.1;no
24586;42;admin.;divorced;high.school;no;yes;no;telephone;nov;mon;1;999;0;nonexistent;-0.1;93.2;-42;4.191;5195.8;no
39795;76;housemaid;married;basic.4y;no;no;no;cellular;jun;tue;5;999;0;nonexistent;-1.7;94.055;-39.8;0.702;4991.6;yes
40769;41;management;divorced;university.degree;no;no;no;cellular;sep;fri;5;3;3;success;-1.1;94.199;-37.5;0.879;4963.6;yes
10388;31;blue-collar;divorced;high.school;no;no;yes;telephone;jun;mon;3;999;0;nonexistent;1.4;94.465;-41.8;4.96;5228.1;no
18080;34;technician;married;professional.course;no;yes;no;cellular;jul;wed;1;999;0;nonexistent;1.4;93.918;-42.7;4.963;5228.1;no
27675;41;blue-collar;single;basic.9y;unknown;no;no;cellular;nov;fri;3;999;0;nonexistent;-0.1;93.2;-42;4.021;5195.8;no
19686;56;technician;married;professional.course;no;yes;no;cellular;aug;thu;3;999;0;nonexistent;1.4;93.444;-36.1;4.968;5228.1;no
2566;44;blue-collar;married;unknown;no;no;yes;telephone;may;tue;1;999;0;nonexistent;1.1;93.994;-36.4;4.856;5191;no
38958;60;admin.;married;unknown;unknown;yes;no;cellular;dec;wed;1;999;0;nonexistent;-3;92.713;-33;0.721;5023.5;yes
14937;28;blue-collar;single;basic.9y;unknown;no;yes;cellular;jul;wed;2;999;0;nonexistent;1.4;93.918;-42.7;4.957;5228.1;no
30976;26;student;single;high.school;unknown;no;no;cellular;may;tue;2;999;1;failure;-1.8;92.893;-46.2;1.344;5099.1;no
5432;32;admin.;married;university.degree;no;yes;no;telephone;may;fri;3;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
36891;25;student;single;university.degree;no;no;yes;telephone;jun;thu;6;999;1;failure;-2.9;92.963;-40.8;1.235;5076.2;yes
12673;34;technician;single;professional.course;unknown;yes;no;cellular;jul;mon;4;999;0;nonexistent;1.4;93.918;-42.7;4.96;5228.1;no
38802;26;admin.;married;high.school;no;yes;no;cellular;nov;fri;1;7;1;success;-3.4;92.649;-30.1;0.714;5017.5;yes
3693;37;admin.;single;high.school;no;yes;no;telephone;may;fri;1;999;0;nonexistent;1.1;93.994;-36.4;4.859;5191;yes
30203;54;housemaid;married;high.school;no;no;no;cellular;apr;thu;1;999;0;nonexistent;-1.8;93.075;-47.1;1.365;5099.1;yes
1399;35;blue-collar;married;basic.6y;no;no;no;telephone;may;thu;1;999;0;nonexistent;1.1;93.994;-36.4;4.855;5191;no
14529;43;services;single;high.school;no;no;no;cellular;jul;tue;4;999;0;nonexistent;1.4;93.918;-42.7;4.961;5228.1;yes
31663;35;blue-collar;married;basic.9y;unknown;no;no;cellular;may;thu;1;999;1;failure;-1.8;92.893;-46.2;1.327;5099.1;no
40480;52;management;married;university.degree;no;yes;no;cellular;aug;thu;3;1;3;success;-1.7;94.027;-38.3;0.899;4991.6;yes
11463;56;retired;divorced;basic.4y;unknown;no;no;telephone;jun;fri;4;999;0;nonexistent;1.4;94.465;-41.8;4.959;5228.1;no
31053;52;management;divorced;university.degree;no;no;no;cellular;may;wed;1;999;1;failure;-1.8;92.893;-46.2;1.334;5099.1;yes
26353;29;admin.;married;high.school;no;no;no;cellular;nov;thu;2;999;0;nonexistent;-0.1;93.2;-42;4.076;5195.8;no
35221;44;blue-collar;married;basic.6y;no;no;no;cellular;may;fri;2;999;0;nonexistent;-1.8;92.893;-46.2;1.25;5099.1;yes
23347;57;blue-collar;married;basic.4y;unknown;no;no;cellular;aug;wed;4;999;0;nonexistent;1.4;93.444;-36.1;4.964;5228.1;no
6829;50;admin.;married;high.school;no;no;no;telephone;may;wed;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
1233;32;blue-collar;married;professional.course;no;no;no;telephone;may;thu;1;999;0;nonexistent;1.1;93.994;-36.4;4.855;5191;yes
12285;46;blue-collar;married;basic.9y;unknown;no;no;telephone;jul;thu;4;999;0;nonexistent;1.4;93.918;-42.7;4.966;5228.1;no
41030;28;admin.;single;university.degree;no;no;no;cellular;oct;mon;1;3;3;success;-1.1;94.601;-49.5;1.032;4963.6;yes
35654;41;unemployed;married;professional.course;no;no;no;cellular;may;mon;4;10;1;success;-1.8;92.893;-46.2;1.244;5099.1;no
19952;38;admin.;married;university.degree;no;yes;no;cellular;aug;fri;7;999;0;nonexistent;1.4;93.444;-36.1;4.966;5228.1;no
20803;39;admin.;divorced;university.degree;no;no;no;cellular;aug;wed;3;999;0;nonexistent;1.4;93.444;-36.1;4.965;5228.1;no
30464;39;admin.;married;high.school;no;yes;no;cellular;may;mon;3;3;1;success;-1.8;92.893;-46.2;1.354;5099.1;yes
27765;34;technician;single;professional.course;no;yes;no;cellular;mar;fri;1;999;0;nonexistent;-1.8;92.843;-50;1.726;5099.1;yes
2141;51;blue-collar;married;basic.9y;no;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
4904;30;admin.;single;high.school;no;no;no;telephone;may;wed;2;999;0;nonexistent;1.1;93.994;-36.4;4.858;5191;yes
36451;46;unemployed;married;basic.9y;no;yes;no;cellular;jun;tue;2;999;0;nonexistent;-2.9;92.963;-40.8;1.262;5076.2;yes
605;32;admin.;single;university.degree;no;no;no;telephone;may;tue;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
33035;27;blue-collar;married;basic.4y;unknown;no;no;cellular;may;mon;7;999;0;nonexistent;-1.8;92.893;-46.2;1.299;5099.1;yes
5166;36;technician;single;university.degree;unknown;no;no;telephone;may;fri;4;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
40587;32;services;single;university.degree;no;no;no;cellular;sep;thu;3;999;2;failure;-1.1;94.199;-37.5;0.884;4963.6;no
4485;39;blue-collar;single;basic.9y;no;no;no;telephone;may;tue;3;999;0;nonexistent;1.1;93.994;-36.4;4.856;5191;yes
40670;29;admin.;single;high.school;no;yes;no;cellular;sep;thu;1;6;2;success;-1.1;94.199;-37.5;0.879;4963.6;yes
35493;31;admin.;married;university.degree;no;no;no;cellular;may;mon;1;999;1;failure;-1.8;92.893;-46.2;1.244;5099.1;no
5096;37;self-employed;married;professional.course;no;no;yes;telephone;may;fri;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
33318;37;admin.;divorced;university.degree;no;yes;no;cellular;may;tue;1;999;0;nonexistent;-1.8;92.893;-46.2;1.291;5099.1;yes
39130;39;admin.;single;university.degree;no;yes;no;telephone;mar;mon;1;999;1;failure;-1.8;93.369;-34.8;0.655;5008.7;yes
40585;39;management;married;university.degree;no;yes;no;cellular;sep;thu;3;999;0;nonexistent;-1.1;94.199;-37.5;0.884;4963.6;yes
1196;50;blue-collar;married;basic.9y;no;yes;no;telephone;may;thu;2;999;0;nonexistent;1.1;93.994;-36.4;4.855;5191;no
40202;29;admin.;married;university.degree;no;yes;no;cellular;jul;mon;3;999;0;nonexistent;-1.7;94.215;-40.3;0.87;4991.6;yes
2447;33;self-employed;divorced;basic.9y;no;yes;no;telephone;may;tue;1;999;0;nonexistent;1.1;93.994;-36.4;4.856;5191;no
286;39;housemaid;married;basic.9y;no;yes;no;telephone;may;mon;3;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;yes
30200;41;admin.;single;university.degree;no;unknown;unknown;cellular;apr;thu;1;999;0;nonexistent;-1.8;93.075;-47.1;1.365;5099.1;yes
2178;57;retired;single;high.school;no;no;no;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
24139;44;management;married;university.degree;no;yes;no;cellular;nov;mon;1;999;1;failure;-0.1;93.2;-42;4.191;5195.8;no
7934;55;blue-collar;married;basic.9y;no;no;no;telephone;jun;mon;2;999;0;nonexistent;1.4;94.465;-41.8;4.865;5228.1;no
36613;31;admin.;married;university.degree;no;no;no;cellular;jun;thu;2;999;1;failure;-2.9;92.963;-40.8;1.26;5076.2;yes
35826;32;services;married;high.school;unknown;no;no;cellular;may;mon;3;10;1;success;-1.8;92.893;-46.2;1.244;5099.1;yes
37274;38;technician;married;professional.course;no;no;no;cellular;aug;mon;1;999;1;failure;-2.9;92.201;-31.4;0.884;5076.2;yes
6214;45;blue-collar;divorced;basic.4y;no;no;no;telephone;may;tue;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
37407;60;retired;married;university.degree;no;no;no;cellular;aug;wed;1;999;0;nonexistent;-2.9;92.201;-31.4;0.879;5076.2;yes
8821;46;blue-collar;married;professional.course;no;no;no;telephone;jun;thu;1;999;0;nonexistent;1.4;94.465;-41.8;4.866;5228.1;yes
25776;35;self-employed;married;university.degree;no;yes;no;cellular;nov;wed;1;999;0;nonexistent;-0.1;93.2;-42;4.12;5195.8;no
35275;54;retired;divorced;university.degree;no;yes;no;cellular;may;fri;2;999;0;nonexistent;-1.8;92.893;-46.2;1.25;5099.1;no
35874;57;admin.;married;university.degree;no;yes;no;cellular;may;fri;2;999;0;nonexistent;-1.8;92.893;-46.2;1.259;5099.1;yes
14177;30;blue-collar;married;high.school;unknown;yes;no;cellular;jul;mon;3;999;0;nonexistent;1.4;93.918;-42.7;4.962;5228.1;yes
38946;73;retired;married;university.degree;no;no;no;cellular;nov;fri;1;999;0;nonexistent;-3.4;92.649;-30.1;0.718;5017.5;yes
33418;33;blue-collar;married;basic.9y;no;yes;yes;cellular;may;tue;4;999;0;nonexistent;-1.8;92.893;-46.2;1.291;5099.1;no
38503;63;technician;married;professional.course;no;yes;no;cellular;oct;tue;1;999;0;nonexistent;-3.4;92.431;-26.9;0.728;5017.5;yes
39475;85;housemaid;married;basic.4y;unknown;no;no;cellular;apr;tue;6;6;1;success;-1.8;93.749;-34.6;0.642;5008.7;yes
37863;30;student;married;university.degree;no;no;no;cellular;aug;mon;2;3;2;success;-2.9;92.201;-31.4;0.821;5076.2;yes
21195;50;services;married;basic.9y;unknown;yes;no;cellular;aug;mon;2;999;0;nonexistent;1.4;93.444;-36.1;4.963;5228.1;no
38869;30;blue-collar;single;high.school;no;no;no;cellular;nov;mon;1;999;2;failure;-3.4;92.649;-30.1;0.714;5017.5;no
40126;35;technician;single;professional.course;no;yes;no;cellular;jul;tue;1;6;1;success;-1.7;94.215;-40.3;0.835;4991.6;yes
34744;37;blue-collar;divorced;basic.9y;no;yes;no;telephone;may;thu;4;999;0;nonexistent;-1.8;92.893;-46.2;1.266;5099.1;yes
37805;58;retired;married;high.school;no;yes;no;cellular;aug;tue;6;3;1;success;-2.9;92.201;-31.4;0.838;5076.2;yes
8891;37;blue-collar;married;high.school;no;no;no;telephone;jun;thu;1;999;0;nonexistent;1.4;94.465;-41.8;4.866;5228.1;no
19013;52;technician;divorced;university.degree;no;no;no;cellular;aug;tue;1;999;0;nonexistent;1.4;93.444;-36.1;4.968;5228.1;no
27469;39;admin.;single;unknown;no;no;no;cellular;nov;fri;2;999;1;failure;-0.1;93.2;-42;4.021;5195.8;yes
9572;26;student;single;high.school;no;no;no;telephone;jun;mon;1;999;0;nonexistent;1.4;94.465;-41.8;4.961;5228.1;yes
39607;52;admin.;married;university.degree;no;no;no;cellular;may;thu;1;3;2;success;-1.8;93.876;-40;0.677;5008.7;yes
36852;53;housemaid;married;basic.4y;no;yes;no;cellular;jun;tue;2;999;0;nonexistent;-2.9;92.963;-40.8;1.252;5076.2;yes
3853;41;self-employed;married;high.school;unknown;no;no;telephone;may;fri;4;999;0;nonexistent;1.1;93.994;-36.4;4.859;5191;no
9072;53;technician;married;professional.course;unknown;yes;no;telephone;jun;thu;6;999;0;nonexistent;1.4;94.465;-41.8;4.866;5228.1;no
30319;33;blue-collar;single;basic.4y;no;no;no;cellular;apr;thu;1;999;0;nonexistent;-1.8;93.075;-47.1;1.365;5099.1;yes
5761;35;blue-collar;married;basic.4y;no;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
19857;30;admin.;single;university.degree;no;no;no;cellular;aug;fri;1;999;0;nonexistent;1.4;93.444;-36.1;4.966;5228.1;no
32647;41;blue-collar;married;basic.6y;unknown;yes;no;cellular;may;mon;8;999;1;failure;-1.8;92.893;-46.2;1.299;5099.1;no
14656;27;services;single;high.school;no;no;no;cellular;jul;tue;4;999;0;nonexistent;1.4;93.918;-42.7;4.961;5228.1;no
31982;24;services;single;high.school;unknown;yes;no;cellular;may;thu;2;10;1;success;-1.8;92.893;-46.2;1.327;5099.1;no
38751;72;retired;divorced;basic.6y;no;yes;no;cellular;nov;wed;2;999;0;nonexistent;-3.4;92.649;-30.1;0.715;5017.5;yes
11552;36;blue-collar;married;basic.9y;no;yes;no;telephone;jun;fri;3;999;0;nonexistent;1.4;94.465;-41.8;4.959;5228.1;yes
19439;43;admin.;single;university.degree;no;no;yes;cellular;aug;wed;7;999;0;nonexistent;1.4;93.444;-36.1;4.967;5228.1;yes
16635;21;blue-collar;married;basic.9y;no;yes;no;cellular;jul;wed;6;999;0;nonexistent;1.4;93.918;-42.7;4.963;5228.1;yes
32265;38;management;married;university.degree;no;yes;no;cellular;may;fri;1;999;0;nonexistent;-1.8;92.893;-46.2;1.313;5099.1;yes
39748;43;blue-collar;single;high.school;no;no;yes;telephone;may;thu;1;999;0;nonexistent;-1.8;93.876;-40;0.699;5008.7;no
20957;30;admin.;married;university.degree;no;no;no;cellular;aug;thu;1;999;0;nonexistent;1.4;93.444;-36.1;4.964;5228.1;no
17108;25;technician;single;high.school;no;no;yes;cellular;jul;fri;2;999;0;nonexistent;1.4;93.918;-42.7;4.962;5228.1;no
38082;24;admin.;single;university.degree;no;no;no;cellular;sep;tue;1;3;1;success;-3.4;92.379;-29.8;0.77;5017.5;yes
3448;49;admin.;divorced;high.school;no;no;no;telephone;may;thu;3;999;0;nonexistent;1.1;93.994;-36.4;4.86;5191;no
38310;37;blue-collar;married;basic.6y;no;no;no;cellular;oct;thu;1;999;0;nonexistent;-3.4;92.431;-26.9;0.74;5017.5;no
30028;29;admin.;single;university.degree;no;yes;no;cellular;apr;wed;1;999;0;nonexistent;-1.8;93.075;-47.1;1.405;5099.1;yes
28028;44;blue-collar;married;basic.9y;unknown;no;no;cellular;apr;thu;1;999;0;nonexistent;-1.8;93.075;-47.1;1.483;5099.1;no
16630;53;admin.;married;university.degree;unknown;no;yes;cellular;jul;wed;3;999;0;nonexistent;1.4;93.918;-42.7;4.963;5228.1;no
28506;28;blue-collar;single;university.degree;no;no;no;cellular;apr;tue;3;999;0;nonexistent;-1.8;93.075;-47.1;1.423;5099.1;yes
12893;37;blue-collar;single;basic.6y;no;no;no;cellular;jul;tue;3;999;0;nonexistent;1.4;93.918;-42.7;4.962;5228.1;no
31007;38;technician;married;professional.course;no;no;no;cellular;may;tue;2;999;0;nonexistent;-1.8;92.893;-46.2;1.344;5099.1;no
30252;42;services;married;high.school;no;yes;no;cellular;apr;thu;1;999;0;nonexistent;-1.8;93.075;-47.1;1.365;5099.1;yes
26388;35;technician;married;university.degree;no;yes;no;cellular;nov;thu;1;999;0;nonexistent;-0.1;93.2;-42;4.076;5195.8;no
4698;33;management;married;high.school;unknown;no;no;telephone;may;wed;1;999;0;nonexistent;1.1;93.994;-36.4;4.858;5191;no
24682;35;blue-collar;married;high.school;unknown;yes;no;cellular;nov;mon;2;999;1;failure;-0.1;93.2;-42;4.191;5195.8;no
39129;59;management;married;university.degree;no;yes;no;cellular;dec;thu;3;6;1;success;-3;92.713;-33;0.7;5023.5;no
20126;31;admin.;married;university.degree;unknown;no;no;cellular;aug;mon;1;999;0;nonexistent;1.4;93.444;-36.1;4.965;5228.1;no
11717;38;blue-collar;married;basic.9y;no;no;no;telephone;jun;fri;3;999;0;nonexistent;1.4;94.465;-41.8;4.959;5228.1;yes
29576;37;services;divorced;high.school;unknown;yes;yes;cellular;apr;mon;1;999;1;failure;-1.8;93.075;-47.1;1.405;5099.1;no
37953;39;blue-collar;married;basic.9y;no;yes;no;cellular;sep;fri;1;3;1;success;-3.4;92.379;-29.8;0.803;5017.5;yes
690;40;admin.;divorced;university.degree;no;yes;no;telephone;may;tue;3;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
12707;42;admin.;single;university.degree;unknown;yes;no;cellular;jul;mon;2;999;0;nonexistent;1.4;93.918;-42.7;4.96;5228.1;yes
36626;28;management;single;university.degree;no;yes;no;cellular;jun;thu;1;4;1;success;-2.9;92.963;-40.8;1.26;5076.2;yes
28424;36;retired;married;high.school;no;yes;no;cellular;apr;thu;6;999;0;nonexistent;-1.8;93.075;-47.1;1.435;5099.1;no
37281;37;technician;married;university.degree;no;yes;no;cellular;aug;mon;1;4;1;success;-2.9;92.201;-31.4;0.884;5076.2;yes
33181;26;admin.;single;university.degree;no;yes;no;cellular;may;tue;5;999;0;nonexistent;-1.8;92.893;-46.2;1.291;5099.1;no
74;37;admin.;married;university.degree;unknown;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
